Payment measure name,Payment,Value of care category
Payment for heart failure patients,"$17,655 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$21,634 ",Average complications and lower payment
Payment for pneumonia patients,"$17,561 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$17,838 ",Average mortality and average payment
Payment for heart failure patients,"$15,605 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,652 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$14,695 ",Average mortality and lower payment
Payment for pneumonia patients,"$16,726 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,041 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,051 ",Average mortality and average payment
Payment for heart failure patients,"$16,480 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,716 ",Average complications and lower payment
Payment for heart attack patients,"$23,334 ",Average mortality and average payment
Payment for heart failure patients,"$15,943 ",Average mortality and average payment
Payment for heart failure patients,"$16,105 ",Average mortality and average payment
Payment for heart failure patients,"$14,851 ",Average mortality and average payment
Payment for heart failure patients,"$13,179 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,149 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,426 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,716 ",Average complications and average payment
Payment for hip/knee replacement patients,"$19,672 ",Average complications and lower payment
Payment for pneumonia patients,"$22,720 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,270 ",Average mortality and average payment
Payment for heart failure patients,"$14,913 ",Average mortality and lower payment
Payment for heart failure patients,"$16,630 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,113 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,892 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,164 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,271 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$19,377 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,032 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,537 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,365 ",Average mortality and average payment
Payment for heart failure patients,"$16,469 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,066 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,988 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,240 ",Average complications and lower payment
Payment for heart failure patients,"$14,492 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,173 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,594 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,600 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,040 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,312 ",Worse mortality and average payment
Payment for pneumonia patients,"$16,182 ",Worse mortality and average payment
Payment for heart failure patients,"$16,215 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,007 ",Worse mortality and higher payment
Payment for heart failure patients,"$15,205 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,506 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,933 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$14,078 ",Average mortality and lower payment
Payment for pneumonia patients,"$18,629 ",Average mortality and average payment
Payment for heart failure patients,"$17,361 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,868 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$22,975 ",Average mortality and average payment
Payment for heart failure patients,"$16,114 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,873 ",Average mortality and average payment
Payment for pneumonia patients,"$17,202 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,486 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$18,575 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,216 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$24,664 ",Average complications and average payment
Payment for heart failure patients,"$15,045 ",Better mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,468 ",Better mortality and average payment
Payment for heart attack patients,"$23,766 ",Average mortality and average payment
Payment for pneumonia patients,"$17,416 ",Average mortality and average payment
Payment for pneumonia patients,"$14,541 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,280 ",Average mortality and average payment
Payment for heart failure patients,"$16,455 ",Average mortality and average payment
Payment for heart failure patients,"$13,836 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$23,490 ",Average complications and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,014 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,390 ",Average mortality and average payment
Payment for heart failure patients,"$16,109 ",Average mortality and average payment
Payment for pneumonia patients,"$17,144 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,653 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$20,900 ",Average complications and lower payment
Payment for heart failure patients,"$16,115 ",Average mortality and average payment
Payment for heart attack patients,"$20,264 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,587 ",Average mortality and average payment
Payment for heart attack patients,"$22,859 ",Average mortality and average payment
Payment for heart failure patients,"$15,785 ",Average mortality and average payment
Payment for heart failure patients,"$15,689 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$20,382 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,387 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,205 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,944 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$21,539 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$18,297 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,260 ",Average mortality and average payment
Payment for pneumonia patients,"$16,912 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,629 ",Worse mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,862 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$18,010 ",Average mortality and higher payment
Payment for heart attack patients,"$22,042 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$16,948 ",Better mortality and average payment
Payment for pneumonia patients,"$18,225 ",Worse mortality and higher payment
Payment for pneumonia patients,"$16,524 ",Better mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$21,856 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,616 ",Average mortality and average payment
Payment for heart attack patients,"$22,894 ",Average mortality and average payment
Payment for heart attack patients,"$21,524 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$13,885 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,508 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$21,855 ",Average mortality and average payment
Payment for pneumonia patients,"$17,845 ",Worse mortality and average payment
Payment for pneumonia patients,"$13,761 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,548 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$15,605 ",Average mortality and lower payment
Payment for heart failure patients,"$16,374 ",Worse mortality and average payment
Payment for pneumonia patients,"$14,904 ",Average mortality and lower payment
Payment for pneumonia patients,"$15,827 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,081 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,216 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,670 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,609 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,172 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,247 ",Average mortality and average payment
Payment for heart failure patients,"$15,132 ",Average mortality and average payment
Payment for heart failure patients,"$16,759 ",Average mortality and average payment
Payment for heart attack patients,"$22,049 ",Better mortality and average payment
Payment for heart failure patients,"$16,558 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,085 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,534 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,881 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$21,678 ",Average mortality and average payment
Payment for pneumonia patients,"$18,038 ",Average mortality and higher payment
Payment for heart failure patients,"$14,078 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,686 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,915 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$24,804 ",Worse complications and higher payment
Payment for hip/knee replacement patients,"$19,203 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$25,454 ",Average complications and higher payment
Payment for heart attack patients,"$23,237 ",Worse mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$25,324 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$20,938 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$16,125 ",Better mortality and average payment
Payment for hip/knee replacement patients,"$20,052 ",Average complications and lower payment
Payment for heart failure patients,"$20,225 ",Average mortality and higher payment
Payment for pneumonia patients,"$14,318 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,360 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,844 ",Better mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,553 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,888 ",Average mortality and average payment
Payment for heart failure patients,"$16,228 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$23,414 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,151 ",Average complications and average payment
Payment for pneumonia patients,"$15,890 ",Worse mortality and average payment
Payment for pneumonia patients,"$16,649 ",Average mortality and average payment
Payment for heart attack patients,"$23,416 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,054 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$21,785 ",Average complications and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,319 ",Average complications and lower payment
Payment for pneumonia patients,"$16,297 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,077 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,457 ",Worse mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,072 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,031 ",Average complications and average payment
Payment for heart failure patients,"$17,780 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,914 ",Average complications and lower payment
Payment for heart attack patients,"$21,197 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,593 ",Average mortality and average payment
Payment for pneumonia patients,"$19,453 ",Worse mortality and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,686 ",Average mortality and average payment
Payment for pneumonia patients,"$17,208 ",Average mortality and average payment
Payment for heart attack patients,"$24,117 ",Average mortality and average payment
Payment for heart attack patients,"$23,810 ",Average mortality and average payment
Payment for heart attack patients,"$22,771 ",Average mortality and average payment
Payment for pneumonia patients,"$19,903 ",Average mortality and average payment
Payment for pneumonia patients,"$17,283 ",Average mortality and average payment
Payment for heart failure patients,"$15,691 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,093 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,314 ",Average complications and lower payment
Payment for heart failure patients,"$16,074 ",Average mortality and average payment
Payment for pneumonia patients,"$17,585 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,390 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$21,965 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,692 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$13,993 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,929 ",Average mortality and average payment
Payment for heart failure patients,"$17,034 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$25,423 ",Average complications and higher payment
Payment for heart failure patients,"$15,453 ",Average mortality and average payment
Payment for pneumonia patients,"$16,549 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,251 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$22,544 ",Average mortality and average payment
Payment for heart failure patients,"$16,234 ",Average mortality and average payment
Payment for pneumonia patients,"$15,929 ",Average mortality and average payment
Payment for pneumonia patients,"$17,477 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,318 ",Worse mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,399 ",Average mortality and average payment
Payment for pneumonia patients,"$16,856 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,946 ",Average complications and average payment
Payment for heart attack patients,"$22,930 ",Average mortality and average payment
Payment for heart failure patients,"$16,489 ",Average mortality and average payment
Payment for pneumonia patients,"$17,707 ",Average mortality and average payment
Payment for heart failure patients,"$15,702 ",Average mortality and average payment
Payment for heart failure patients,"$16,673 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,064 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,194 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,089 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,373 ",Average complications and lower payment
Payment for pneumonia patients,"$18,914 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,398 ",Average mortality and lower payment
Payment for heart attack patients,"$22,617 ",Average mortality and average payment
Payment for heart failure patients,"$15,036 ",Average mortality and average payment
Payment for pneumonia patients,"$18,445 ",Average mortality and average payment
Payment for heart attack patients,"$22,255 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$12,852 ",Average mortality and lower payment
Payment for heart failure patients,"$15,176 ",Average mortality and average payment
Payment for heart failure patients,"$16,026 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,901 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,921 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$25,799 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$23,047 ",Average complications and average payment
Payment for heart attack patients,"$23,524 ",Average mortality and average payment
Payment for heart failure patients,"$14,926 ",Average mortality and lower payment
Payment for pneumonia patients,"$18,273 ",Worse mortality and higher payment
Payment for pneumonia patients,"$16,571 ",Average mortality and average payment
Payment for pneumonia patients,"$21,122 ",Average mortality and higher payment
Payment for heart failure patients,"$15,905 ",Average mortality and average payment
Payment for heart failure patients,"$16,100 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,277 ",Worse mortality and average payment
Payment for heart failure patients,"$15,186 ",Average mortality and average payment
Payment for pneumonia patients,"$14,637 ",Average mortality and lower payment
Payment for heart failure patients,"$16,375 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$13,830 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,356 ",Average mortality and average payment
Payment for pneumonia patients,"$16,826 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,337 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$26,874 ",Average complications and higher payment
Payment for heart failure patients,"$17,316 ",Average mortality and average payment
Payment for heart attack patients,"$23,491 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,717 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,062 ",Average mortality and average payment
Payment for heart failure patients,"$16,321 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,650 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$28,632 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,072 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,042 ",Average mortality and average payment
Payment for heart failure patients,"$14,926 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$17,517 ",Average mortality and average payment
Payment for pneumonia patients,"$20,071 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,478 ",Worse complications and higher payment
Payment for pneumonia patients,"$18,566 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,060 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,560 ",Average complications and average payment
Payment for pneumonia patients,"$18,222 ",Average mortality and average payment
Payment for pneumonia patients,"$16,720 ",Average mortality and average payment
Payment for heart attack patients,"$20,503 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$23,969 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,386 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$22,856 ",Average complications and average payment
Payment for heart attack patients,"$20,370 ",Average mortality and lower payment
Payment for pneumonia patients,"$18,466 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,367 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,208 ",Average mortality and average payment
Payment for heart failure patients,"$14,830 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$23,666 ",Average complications and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,068 ",Average mortality and average payment
Payment for heart failure patients,"$15,242 ",Average mortality and average payment
Payment for pneumonia patients,"$18,352 ",Average mortality and higher payment
Payment for pneumonia patients,"$17,411 ",Average mortality and average payment
Payment for heart failure patients,"$16,367 ",Average mortality and average payment
Payment for heart failure patients,"$17,570 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$22,381 ",Average complications and average payment
Payment for heart attack patients,"$24,774 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$16,232 ",Average mortality and average payment
Payment for heart failure patients,"$16,749 ",Average mortality and average payment
Payment for heart failure patients,"$18,691 ",Average mortality and higher payment
Payment for heart attack patients,"$22,642 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,021 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$16,132 ",Worse mortality and average payment
Payment for heart failure patients,"$13,667 ",Average mortality and lower payment
Payment for pneumonia patients,"$20,895 ",Average mortality and higher payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,479 ",Worse mortality and average payment
Payment for pneumonia patients,"$15,565 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,324 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,747 ",Average complications and average payment
Payment for hip/knee replacement patients,"$19,991 ",Average complications and lower payment
Payment for heart attack patients,"$22,324 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,202 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$25,974 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$15,666 ",Average mortality and average payment
Payment for pneumonia patients,"$15,315 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,692 ",Average mortality and average payment
Payment for pneumonia patients,"$18,048 ",Average mortality and average payment
Payment for heart failure patients,"$16,096 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,379 ",Average mortality and lower payment
Payment for heart failure patients,"$17,014 ",Worse mortality and average payment
Payment for hip/knee replacement patients,"$26,718 ",Average complications and higher payment
Payment for pneumonia patients,"$16,888 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,623 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$21,665 ",Average mortality and average payment
Payment for pneumonia patients,"$14,959 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,127 ",Average mortality and average payment
Payment for heart failure patients,"$14,624 ",Average mortality and average payment
Payment for heart failure patients,"$20,628 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,575 ",Average complications and lower payment
Payment for pneumonia patients,"$18,480 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$21,827 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$15,784 ",Average mortality and average payment
Payment for heart failure patients,"$16,227 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,343 ",Average mortality and average payment
Payment for heart attack patients,"$23,950 ",Worse mortality and average payment
Payment for pneumonia patients,"$15,794 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$24,050 ",Average mortality and average payment
Payment for pneumonia patients,"$16,928 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
